,cleaned_label,description,domain,id,range,superproperty
400,christening date,,['http://dbpedia.org/ontology/Ship'],http://dbpedia.org/ontology/christeningDate,['http://www.w3.org/2001/XMLSchema#date'],
401,chromosome,,['http://dbpedia.org/ontology/Protein'],http://dbpedia.org/ontology/chromosome,['http://www.w3.org/2001/XMLSchema#string'],
402,cinematography,,['http://dbpedia.org/ontology/Film'],http://dbpedia.org/ontology/cinematography,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
403,circle,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/circle,['http://www.w3.org/2001/XMLSchema#string'],
404,circuit length,,['http://dbpedia.org/ontology/FormulaOneRacing'],http://dbpedia.org/ontology/circuitLength,['http://www.w3.org/2001/XMLSchema#double'],
405,circuit name,,['http://dbpedia.org/ontology/FormulaOneRacing'],http://dbpedia.org/ontology/circuitName,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
406,circulation,,['http://dbpedia.org/ontology/WrittenWork'],http://dbpedia.org/ontology/circulation,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
407,circumcised,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/circumcised,['http://www.w3.org/2001/XMLSchema#string'],
408,cites,"A document cited by this work. Like OntologyProperty:dct:references, but as a datatype property.",['http://dbpedia.org/ontology/Work'],http://dbpedia.org/ontology/cites,['http://www.w3.org/2001/XMLSchema#string'],
409,citizenship,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/citizenship,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
410,city,,,http://dbpedia.org/ontology/city,['http://dbpedia.org/ontology/City'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
411,city link,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/cityLink,['http://www.w3.org/2001/XMLSchema#string'],
412,city rank,Place of the building in the list of the highest buildings in the city,['http://dbpedia.org/ontology/Skyscraper'],http://dbpedia.org/ontology/cityRank,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
413,city since,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/citySince,['http://www.w3.org/2001/XMLSchema#string'],
414,city type,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/cityType,['http://www.w3.org/2001/XMLSchema#string'],
415,clade,,['http://dbpedia.org/ontology/Species'],http://dbpedia.org/ontology/clade,,
416,class,,,http://dbpedia.org/ontology/class,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy']
417,classes,,['http://dbpedia.org/ontology/School'],http://dbpedia.org/ontology/classes,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
418,classification,Any string representing a class or category this thing is assigned to.,,http://dbpedia.org/ontology/classification,['http://www.w3.org/2001/XMLSchema#string'],
419,classis,"the living thing class (from the Latin ""classis""), according to the biological taxonomy",['http://dbpedia.org/ontology/Species'],http://dbpedia.org/ontology/classis,,
