,cleaned_label,description,domain,id,range,superproperty
0,a side,,['http://dbpedia.org/ontology/Single'],http://dbpedia.org/ontology/aSide,['http://www.w3.org/2001/XMLSchema#string'],
1,abbeychurch blessing,,['http://dbpedia.org/ontology/Cleric'],http://dbpedia.org/ontology/abbeychurchBlessing,['http://www.w3.org/2001/XMLSchema#string'],
2,abbeychurch blessing charge,,['http://dbpedia.org/ontology/Cleric'],http://dbpedia.org/ontology/abbeychurchBlessingCharge,['http://www.w3.org/2001/XMLSchema#string'],
3,abbreviation,,,http://dbpedia.org/ontology/abbreviation,['http://www.w3.org/2001/XMLSchema#string'],
4,able to grind,,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/ableToGrind,['http://www.w3.org/2001/XMLSchema#string'],
5,absolute magnitude,,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/absoluteMagnitude,['http://www.w3.org/2001/XMLSchema#double'],
6,abstentions,Number of abstentions from the vote,['http://dbpedia.org/ontology/StatedResolution'],http://dbpedia.org/ontology/abstentions,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
7,abstract,Reserved for DBpedia.,,http://dbpedia.org/ontology/abstract,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
8,academic advisor,,['http://dbpedia.org/ontology/Scientist'],http://dbpedia.org/ontology/academicAdvisor,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
9,academic discipline,"An academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level. Disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong.",['http://dbpedia.org/ontology/AcademicJournal'],http://dbpedia.org/ontology/academicDiscipline,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isAbout']
10,academy award,,['http://dbpedia.org/ontology/Artist'],http://dbpedia.org/ontology/academyAward,['http://dbpedia.org/ontology/Award'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
11,acceleration,,['http://dbpedia.org/ontology/AutomobileEngine'],http://dbpedia.org/ontology/acceleration,['http://www.w3.org/2001/XMLSchema#double'],
12,access,,,http://dbpedia.org/ontology/access,['http://www.w3.org/2001/XMLSchema#string'],
13,access date,,,http://dbpedia.org/ontology/accessDate,['http://www.w3.org/2001/XMLSchema#date'],
14,achievement,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/achievement,,
15,acquirement date,,['http://dbpedia.org/ontology/Ship'],http://dbpedia.org/ontology/acquirementDate,['http://www.w3.org/2001/XMLSchema#date'],
16,act score,most recent average ACT scores,['http://dbpedia.org/ontology/School'],http://dbpedia.org/ontology/actScore,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality']
17,acting headteacher,,['http://dbpedia.org/ontology/EducationalInstitution'],http://dbpedia.org/ontology/actingHeadteacher,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
18,active cases,Number of active cases in a pandemic,['http://dbpedia.org/ontology/Outbreak'],http://dbpedia.org/ontology/activeCases,['http://www.w3.org/2001/XMLSchema#integer'],
19,active years,"Also called ""floruit"". Use this if the active years are in one field that can't be split. Else use activeYearsStartYear and activeYearsEndYear",['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/activeYears,['http://www.w3.org/2001/XMLSchema#string'],
20,active years end date,,,http://dbpedia.org/ontology/activeYearsEndDate,['http://www.w3.org/2001/XMLSchema#date'],
21,active years end date mgr,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/activeYearsEndDateMgr,['http://www.w3.org/2001/XMLSchema#string'],
22,active years end year,,,http://dbpedia.org/ontology/activeYearsEndYear,['http://www.w3.org/2001/XMLSchema#gYear'],
23,active years end year mgr,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/activeYearsEndYearMgr,['http://www.w3.org/2001/XMLSchema#gYear'],
24,active years start date,,,http://dbpedia.org/ontology/activeYearsStartDate,['http://www.w3.org/2001/XMLSchema#date'],
25,active years start date mgr,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/activeYearsStartDateMgr,['http://www.w3.org/2001/XMLSchema#date'],
26,active years start year,,,http://dbpedia.org/ontology/activeYearsStartYear,['http://www.w3.org/2001/XMLSchema#gYear'],
27,active years start year mgr,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/activeYearsStartYearMgr,['http://www.w3.org/2001/XMLSchema#gYear'],
28,activity,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/activity,,
29,address,"Address of something as literal. Usually Building, but we also use it for the address of a Region's or Settlement's government",['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/address,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
30,address in road,"A building, organisation or other thing that is located in the road.",['http://dbpedia.org/ontology/Road'],http://dbpedia.org/ontology/addressInRoad,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf']
31,adjacent settlement,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/adjacentSettlement,['http://dbpedia.org/ontology/Settlement'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#nearTo']
32,administrative center,,['http://dbpedia.org/ontology/AdministrativeRegion'],http://dbpedia.org/ontology/administrativeCenter,['http://dbpedia.org/ontology/Place'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
33,administrative collectivity,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/administrativeCollectivity,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
34,administrative district,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/administrativeDistrict,['http://dbpedia.org/ontology/PopulatedPlace'],
35,administrative head city,city where stand the administrative power,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/administrativeHeadCity,['http://dbpedia.org/ontology/City'],
36,administrative status,,,http://dbpedia.org/ontology/administrativeStatus,['http://www.w3.org/2001/XMLSchema#string'],
37,administrator,,['http://dbpedia.org/ontology/Organisation'],http://dbpedia.org/ontology/administrator,['http://dbpedia.org/ontology/Person'],
38,afdb id,,['http://dbpedia.org/ontology/Film'],http://dbpedia.org/ontology/afdbId,['http://www.w3.org/2001/XMLSchema#string'],
39,affair,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/affair,['http://www.w3.org/2001/XMLSchema#string'],
40,affiliate,,['http://dbpedia.org/ontology/FictionalCharacter'],http://dbpedia.org/ontology/affiliate,['http://www.w3.org/2001/XMLSchema#string'],
41,affiliation,,,http://dbpedia.org/ontology/affiliation,['http://dbpedia.org/ontology/Organisation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
42,afi award,,['http://dbpedia.org/ontology/Artist'],http://dbpedia.org/ontology/afiAward,['http://dbpedia.org/ontology/Award'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
43,age,,['http://dbpedia.org/ontology/Agent'],http://dbpedia.org/ontology/age,['http://www.w3.org/2001/XMLSchema#integer'],
44,age range,"Age range of students admitted in a School, MilitaryUnit, etc",,http://dbpedia.org/ontology/ageRange,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
45,agency,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/agency,,
46,agency station code,"Agency station code (used on tickets/reservations, etc.).",['http://dbpedia.org/ontology/Station'],http://dbpedia.org/ontology/agencyStationCode,['http://www.w3.org/2001/XMLSchema#string'],
47,agglomeration,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/agglomeration,['http://dbpedia.org/ontology/Agglomeration'],
48,agglomeration area,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/agglomerationArea,['http://dbpedia.org/ontology/Area'],
49,agglomeration demographics,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/agglomerationDemographics,['http://dbpedia.org/ontology/Demographics'],
50,agglomeration population,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/agglomerationPopulation,['http://dbpedia.org/ontology/Population'],
51,agglomeration population total,,,http://dbpedia.org/ontology/agglomerationPopulationTotal,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
52,agglomeration population year,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/agglomerationPopulationYear,['http://www.w3.org/2001/XMLSchema#string'],
53,aggregation,,['http://dbpedia.org/ontology/ChemicalSubstance'],http://dbpedia.org/ontology/aggregation,['http://www.w3.org/2001/XMLSchema#string'],
54,air date,,['http://dbpedia.org/ontology/RadioStation'],http://dbpedia.org/ontology/airDate,['http://www.w3.org/2001/XMLSchema#date'],
55,aircraft attack,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftAttack,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
56,aircraft bomber,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftBomber,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
57,aircraft electronic,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftElectronic,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
58,aircraft fighter,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftFighter,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
59,aircraft helicopter,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftHelicopter,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
60,aircraft helicopter attack,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftHelicopterAttack,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
61,aircraft helicopter cargo,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftHelicopterCargo,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
62,aircraft helicopter multirole,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftHelicopterMultirole,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
63,aircraft helicopter observation,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftHelicopterObservation,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
64,aircraft helicopter transport,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftHelicopterTransport,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
65,aircraft helicopter utility,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftHelicopterUtility,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
66,aircraft interceptor,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftInterceptor,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
67,aircraft patrol,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftPatrol,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
68,aircraft recon,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftRecon,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
69,aircraft trainer,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftTrainer,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
70,aircraft transport,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/aircraftTransport,['http://dbpedia.org/ontology/MeanOfTransportation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
71,aircraft type,,['http://dbpedia.org/ontology/Aircraft'],http://dbpedia.org/ontology/aircraftType,['http://www.w3.org/2001/XMLSchema#string'],
72,aircraft user,,['http://dbpedia.org/ontology/Aircraft'],http://dbpedia.org/ontology/aircraftUser,['http://dbpedia.org/ontology/Organisation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
73,airport using,,['http://dbpedia.org/ontology/Airport'],http://dbpedia.org/ontology/airportUsing,['http://www.w3.org/2001/XMLSchema#string'],
74,aita code,,,http://dbpedia.org/ontology/aitaCode,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
75,albedo,reflection coefficient,['http://dbpedia.org/ontology/Planet'],http://dbpedia.org/ontology/albedo,['http://www.w3.org/2001/XMLSchema#double'],
76,album,,,http://dbpedia.org/ontology/album,['http://dbpedia.org/ontology/Album'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
77,album runtime,,['http://dbpedia.org/ontology/Album'],http://dbpedia.org/ontology/albumRuntime,['http://www.w3.org/2001/XMLSchema#double'],['http://dbpedia.org/ontology/runtime']
78,alias,,,http://dbpedia.org/ontology/alias,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
79,allcinema id,,['http://dbpedia.org/ontology/Film'],http://dbpedia.org/ontology/allcinemaId,['http://www.w3.org/2001/XMLSchema#string'],
80,allegiance,"The country or other power the person served. Multiple countries may be indicated together with the corresponding dates. This field should not be used to indicate a particular service branch, which is better indicated by the branch field.",['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/allegiance,['http://www.w3.org/2001/XMLSchema#string'],
81,alliance,,['http://dbpedia.org/ontology/Airline'],http://dbpedia.org/ontology/alliance,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf']
82,alma mater,schools that they attended,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/almaMater,['http://dbpedia.org/ontology/EducationalInstitution'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
83,alongside,,,http://dbpedia.org/ontology/alongside,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
84,alps group,"the Alps group to which the mountain belongs, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsGroup,['http://dbpedia.org/ontology/MountainRange'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
85,alps main part,"the Alps main part to which the mountain belongs, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsMainPart,['http://dbpedia.org/ontology/MountainRange'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
86,alps major sector,"the Alps major sector to which the mountain belongs, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsMajorSector,['http://dbpedia.org/ontology/MountainRange'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
87,alps section,"the Alps section to which the mountain belongs, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsSection,['http://dbpedia.org/ontology/MountainRange'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
88,alps soiusa code,"the Alps SOIUSA code corresponding to the mountain, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsSoiusaCode,['http://www.w3.org/2001/XMLSchema#string'],
89,alps subgroup,"the Alps subgroup to which the mountain belongs, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsSubgroup,['http://dbpedia.org/ontology/MountainRange'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
90,alps subsection,"the Alps subsection to which the mountain belongs, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsSubsection,['http://dbpedia.org/ontology/MountainRange'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
91,alps supergroup,"the Alps supergroup to which the mountain belongs, according to the SOIUSA classification",['http://dbpedia.org/ontology/Mountain'],http://dbpedia.org/ontology/alpsSupergroup,['http://dbpedia.org/ontology/MountainRange'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
92,alternative name,Alternative naming of anything not being a Person (for which case foaf:nick should be used).,,http://dbpedia.org/ontology/alternativeName,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
93,alternative title,The alternative title attributed to a work,['http://dbpedia.org/ontology/Work'],http://dbpedia.org/ontology/alternativeTitle,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
94,altitude,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/altitude,['http://dbpedia.org/ontology/Altitude'],
95,alumni,,['http://dbpedia.org/ontology/EducationalInstitution'],http://dbpedia.org/ontology/alumni,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
96,amateur defeat,,['http://dbpedia.org/ontology/Boxer'],http://dbpedia.org/ontology/amateurDefeat,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
97,amateur fight,,['http://dbpedia.org/ontology/Boxer'],http://dbpedia.org/ontology/amateurFight,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
98,amateur ko,,['http://dbpedia.org/ontology/Boxer'],http://dbpedia.org/ontology/amateurKo,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
99,amateur no contest,,['http://dbpedia.org/ontology/Boxer'],http://dbpedia.org/ontology/amateurNoContest,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
100,amateur team,,"['http://dbpedia.org/ontology/Athlete,_CareerStation']",http://dbpedia.org/ontology/amateurTeam,['http://dbpedia.org/ontology/SportsTeam'],
101,amateur tie,,['http://dbpedia.org/ontology/Boxer'],http://dbpedia.org/ontology/amateurTie,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
102,amateur title,,['http://dbpedia.org/ontology/Boxer'],http://dbpedia.org/ontology/amateurTitle,['http://www.w3.org/2001/XMLSchema#string'],
103,amateur victory,,['http://dbpedia.org/ontology/Boxer'],http://dbpedia.org/ontology/amateurVictory,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
104,amateur year,,"['http://dbpedia.org/ontology/Athlete,_CareerStation']",http://dbpedia.org/ontology/amateurYear,['http://www.w3.org/2001/XMLSchema#string'],
105,american comedy award,,['http://dbpedia.org/ontology/Comedian'],http://dbpedia.org/ontology/americanComedyAward,['http://dbpedia.org/ontology/Award'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
106,amgid,,['http://dbpedia.org/ontology/Film'],http://dbpedia.org/ontology/amgid,['http://www.w3.org/2001/XMLSchema#string'],
107,amsterdam code,,['http://dbpedia.org/ontology/Municipality'],http://dbpedia.org/ontology/amsterdamCode,['http://www.w3.org/2001/XMLSchema#string'],
108,analog channel,,['http://dbpedia.org/ontology/Broadcaster'],http://dbpedia.org/ontology/analogChannel,['http://www.w3.org/2001/XMLSchema#string'],
109,animal,,,http://dbpedia.org/ontology/animal,['http://dbpedia.org/ontology/Animal'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf']
110,animator,,['http://dbpedia.org/ontology/Cartoon'],http://dbpedia.org/ontology/animator,['http://dbpedia.org/ontology/Agent'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
111,anniversary,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/anniversary,['http://www.w3.org/2001/XMLSchema#date'],
112,announced from,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/announcedFrom,['http://dbpedia.org/ontology/Place'],
113,annual temperature,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/annualTemperature,['http://www.w3.org/2001/XMLSchema#double'],
114,anthem,"Official song (anthem) of a PopulatedPlace, SportsTeam, School or other",,http://dbpedia.org/ontology/anthem,['http://dbpedia.org/ontology/Work'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
115,ao cloassification,,['http://dbpedia.org/ontology/Disease'],http://dbpedia.org/ontology/aoCloassification,['http://www.w3.org/2001/XMLSchema#string'],
116,apc president,,,http://dbpedia.org/ontology/apcPresident,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
117,apoapsis,,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/apoapsis,['http://www.w3.org/2001/XMLSchema#double'],
118,apofocus,,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/apofocus,['http://www.w3.org/2001/XMLSchema#string'],
119,apparent magnitude,,['http://dbpedia.org/ontology/Planet'],http://dbpedia.org/ontology/apparentMagnitude,['http://www.w3.org/2001/XMLSchema#double'],
120,appearance,,,http://dbpedia.org/ontology/appearance,['http://www.w3.org/2001/XMLSchema#string'],
121,appearances in league,,['http://dbpedia.org/ontology/SoccerPlayer'],http://dbpedia.org/ontology/appearancesInLeague,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
122,appearances in national team,,['http://dbpedia.org/ontology/SoccerPlayer'],http://dbpedia.org/ontology/appearancesInNationalTeam,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
123,appointer,,,http://dbpedia.org/ontology/appointer,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
124,apprehended,,['http://dbpedia.org/ontology/Criminal'],http://dbpedia.org/ontology/apprehended,['http://www.w3.org/2001/XMLSchema#date'],
125,approach,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/approach,,
126,approved by lower parliament,"Date of approval by lower parliament (House of Commons, Chambre des Députés, Bundestag, Tweede Kamer etc.).",['http://dbpedia.org/ontology/Law'],http://dbpedia.org/ontology/approvedByLowerParliament,['http://www.w3.org/2001/XMLSchema#date'],
127,approved by upper parliament,"Date of approval by upper parliament (House of Lords, Sénat, Eerste Kamer etc.).",['http://dbpedia.org/ontology/Law'],http://dbpedia.org/ontology/approvedByUpperParliament,['http://www.w3.org/2001/XMLSchema#date'],
128,approximate calories,Approximate calories per serving.,['http://dbpedia.org/ontology/Food'],http://dbpedia.org/ontology/approximateCalories,['http://www.w3.org/2001/XMLSchema#double'],
129,apskritis,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/apskritis,['http://www.w3.org/2001/XMLSchema#string'],
130,archipelago,,['http://dbpedia.org/ontology/Island'],http://dbpedia.org/ontology/archipelago,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf']
131,architect,,['http://dbpedia.org/ontology/ArchitecturalStructure'],http://dbpedia.org/ontology/architect,['http://dbpedia.org/ontology/Architect'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
132,architectual bureau,,['http://dbpedia.org/ontology/ArchitecturalStructure'],http://dbpedia.org/ontology/architectualBureau,['http://dbpedia.org/ontology/Company'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
133,architectural movement,,['http://dbpedia.org/ontology/Architect'],http://dbpedia.org/ontology/architecturalMovement,['http://www.w3.org/2001/XMLSchema#string'],
134,architectural style,,['http://dbpedia.org/ontology/ArchitecturalStructure'],http://dbpedia.org/ontology/architecturalStyle,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isDescribedBy']
135,area,The area of the thing in square meters.,,http://dbpedia.org/ontology/area,['http://www.w3.org/2001/XMLSchema#double'],
136,area code,Area code for telephone numbers. Use this not phonePrefix,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaCode,['http://www.w3.org/2001/XMLSchema#string'],
137,area date,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaDate,['http://www.w3.org/2001/XMLSchema#date'],
138,area land,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaLand,['http://www.w3.org/2001/XMLSchema#double'],
139,area metro,,,http://dbpedia.org/ontology/areaMetro,['http://www.w3.org/2001/XMLSchema#double'],
140,area of catchment,,['http://dbpedia.org/ontology/Lake'],http://dbpedia.org/ontology/areaOfCatchment,['http://www.w3.org/2001/XMLSchema#double'],
141,area of catchment quote,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaOfCatchmentQuote,['http://www.w3.org/2001/XMLSchema#string'],
142,area of search,,['http://dbpedia.org/ontology/SiteOfSpecialScientificInterest'],http://dbpedia.org/ontology/areaOfSearch,['http://dbpedia.org/ontology/PopulatedPlace'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation']
143,area quote,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaQuote,['http://www.w3.org/2001/XMLSchema#string'],
144,area rank,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaRank,['http://www.w3.org/2001/XMLSchema#string'],
145,area rural,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/areaRural,['http://www.w3.org/2001/XMLSchema#double'],
146,area total,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaTotal,['http://www.w3.org/2001/XMLSchema#double'],
147,area total ranking,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/areaTotalRanking,['http://www.w3.org/2001/XMLSchema#positiveInteger'],
148,area urban,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/areaUrban,['http://www.w3.org/2001/XMLSchema#double'],
149,area water,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/areaWater,['http://www.w3.org/2001/XMLSchema#double'],
150,argue date,,['http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase'],http://dbpedia.org/ontology/argueDate,['http://www.w3.org/2001/XMLSchema#date'],
151,ariel award,,['http://dbpedia.org/ontology/Actor'],http://dbpedia.org/ontology/arielAward,['http://dbpedia.org/ontology/Award'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
152,arm,,['http://dbpedia.org/ontology/Protein'],http://dbpedia.org/ontology/arm,['http://www.w3.org/2001/XMLSchema#string'],
153,army,,['http://dbpedia.org/ontology/MilitaryPerson'],http://dbpedia.org/ontology/army,['http://www.w3.org/2001/XMLSchema#string'],
154,arrest date,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/arrestDate,['http://www.w3.org/2001/XMLSchema#date'],
